conhecimento	escola
choroso	sentido
destilar	transcoar
concitar	reprurir
retirar-se	vazar
desidratar	ressecar
lamaceira	lameiro
assanhado	sanhoso
masticatório	mastigatório
escorregar	falhar
forte	musculoso
compilar	reunir
banzar	remoer
cascar	descorticar
brilhante	fastoso
louco	tresloucado
avizinhar-se	conchegar-se
comunidade	irmandade
apaziguamento	harmonia
compadresco	compadrio
desfruir	gostar
esperado	provável
balroar	preliar
desmanchar	esfacelar
abalroar	contender
encapar	entroixar
comunicativo	expansivo
bravatear	fumacear
cansar	entibiar
deleite	prazimento
abonecar-se	ajaezar-se
afincado	tenaz
ecfrático	picante
barrufar	pingar
quieteza	tranqüilidade
fortificar	vitalizar
ofuscamento	turvamento
arqueado	combo
amaneirado	apavonado
destrinçar	particularizar
aleijado	mutilado
esterroado	estorrado
desenredar	desvincilhar
lumeeira	lustre
felicitar-se	gratular
gambelar	tungar
meter	sepultar
lamuriante	lamuriento
beliscar	estugar
desembaraçado	expedito
anular-se	desgregar-se
loquaz	multíloquo
espaço	trecho
derivar	jorrar
agregado	ajuntado
eumatia	subtilidade
porfiar	renitir
abatido	rebaixado
amedrontar	intimidar
bispar	surrupiar
marca	vestígio
distinto	esclarecido
trotar	vasconcear
cavador	furador
tábua	tela
aviltamento	vileza
crônico	enraizado
pimpar	pimponear
proferimento	pronunciação
facetear	motejar
escarrapachado	esgarranchado
brilhar	sobressair
abrutalhar	bestializar
acirrar	pruir
esgrimir	litigiar
blague	sal
imposição	obrigação
desvaecer	ensoberbecer
caber	conter
palonço	tolo
colubrejar	serpear
depravar-se	enchafurdar
espantoso	horrífero
fugido	tresmalhado
comutar	escambar
doidejar	flanar
circunspeção	prudência
amuar	repanhar
arrebatar	palmear
estafar	fadigar
colaboração	conspiração
empegar-se	mergulhar-se
reformar	restabelecer
embarrar-se	entujucar-se
azar	desfortuna
medidor	relógio
adoçar	aligeirar
açoute	flagelo
conter	reportar
ajeitamento	conchavo
querençoso	simpático
desarraigamento	extirpação
boboca	paspalhão
transir	trespassar
aprimorar	facetar
amortecido	mortiço
desbrecar	desfrear
chatinar	subornar
desentulhar	livrar
prova	testemunho
arraigar	implantar
alombado	curvo
embaraçado	torvado
abstemia	frugalidade
amaldiçoar	anatematizar
precautelar-se	precaver-se
endoidecer-se	perturbar-se
audacioso	longânime
acomunar-se	mancomunar-se
desmiolado	esmiolado
enviperar-se	exceder-se
ingênuo	puro
derrear	desprezar
gosto	paladar
esfarelar	esfarinhar
guardar	poupar
aplauso	aprovação
encarquilhar	surcar
avergoado	maltratado
batido	calcado
ferro-velho	sucata
exsolver	liqüidar
atordoado	atrapalhado
escarnecer	pagodear
desponta	surgimento
catraca	roleta
embriagamento	embriaguez
amoitar-se	entrouxar-se
erubescer	rosar
adjunção	associação
falar	impor
coçar	surrar
grota	vale
avultar	desremediar
clitorídeo	clitoridiano
padroeiro	protetor
desirmanado	diferente
efundir-se	espalhar-se
escupidor	estatuário
agermanar-se	envolver-se
blasonar	parlapatear
acatamento	obediência
depositar	enceleirar
baixo	convidoso
adiável	protelável
entrada	porta
rematado	ultimado
embravecido	furibundo
carnificina	matança
gorjear	trinar
lorpa	palúrdio
igualar-se	nivelar-se
emporcar	inquinar
trôpego	zopeiro
desunião	dissensão
inflamar	soprar
endemoninhar-se	envinagrar-se
azucrinado	incomodado
continente	parcimonioso
cintilante	fulguroso
crer	pressupor
cantar	levantar
condessar	meter
empaçocar	machucar
enovelar-se	enrolar-se
encapeladura	encrespamento
gelar	regelar
concionar	discursar
lamelar	laminar
cientificar	comunicar
capear	carambolar
esfrega	ralhação
meretriciar-se	prostituir-se
entabuar	solhar
coberta	ensombro
caráter	qualidade
ambulativo	errático
arrefentar	torpecer
desferir	encavilhar
antropóide	homínido
interessar	pertencer
peralvilhice	tafulice
gordalhufo	gordão
atadura	prisão
eônico	eônio
empinar	virar
enxadrezar	escaquear
sobrevivo	supérstite
refrear	represar
janotar	janotear
furacão	torvelim
badanal	balbúrdia
lengalenga	litania
almofadado	estofado
estender-se	prolongar-se
penetrar	pescar
defender	vetar
fenomenal	portentoso
brandura	macieza
anemiado	enfraquecido
avergar-se	tornejar-se
murmurar	rezingar
enuviar	sombrejar
desajudado	desamparado
abranger	possuir
embuziar	enlambuzar
desapertar	libertar
prever	surpresar
afunilar	estreitar
analisar	farejar
desmoutar	humanizar
lacaio	volante
descomedido	desenfreado
excluído	suprimido
afamado	egrégio
chasquear	pantear
deslindamento	destrinça
detector	radar
antecessor	antepassado
abalofado	arrebicado
ostentação	vaidade
escurentar	turvar-se
destratar	ultrajar
agudeza	fineza
afamilhar-se	juntar-se
adelgar	empalecer
cancelar	rescindir
alegrar	animar
aborrecimento	chateação
encaminhado	guiado
desígnio	sorte
antedizer	pressentir
corruto	vicioso
engrossar	espessar
característico	genuíno
bacharelice	culteranismo
circundar	perlongar
baba-ovo	lambe-botas
avariar	estrompar
despiolhar	esquadrinhar
amovível	removível
pejamento	vexame
abafador	abafante
gatuno	ratoneiro
esmadrigar	perder-se
recortado	rendilhado
agente	propulsor
aumentar	avantajar
horrípilo	horroroso
desinquietar	tentar
crepitar	estralar
abastecer-se	açalmar-se
cruciar	remoer
inquieto	traquina
desvio	divagação
imundo	obsceno
obtemperar	submeter-se
desflorir-se	findar
acumetria	acuometria
odorífero	perfumado
marinheiro	marítimo
reconhecer	retribuir
alienado	endoidecido
abelhudar	sondar
desapear	destruir
lamentoso	magoado
oblíquo	transversal
limite	linda
deslumbroso	triunfante
desancar	malhar
afligente	cruciário
acabrunhar-se	atormentar-se
adregar	vir
atilamento	precaução
teima	teimosia
detruncar	tronchar
apor	incorporar
bonança	sossego
abrutalhado	rude
colorir	encangotar
desertar	sair
defraudar	gatunhar
preservar	salvar
neblinar	pingar
auditor	ouvidor
inficionar	malignar
professar	ter
rebentação	romper
ralo	ronqueira
articulação	união
avançamento	avanço
sobreeminência	supereminênica
ocultar	sonegar
obrigar	superar
asseado	delicado
desconjuntar-se	inutilizar-se
simplesmente	unicamente
branco	lácteo
clemência	indulgência
marasmado	marasmático
bestificado	estupefeito
desacreditar	detratar
desaproveitar	economizar
inteiro	salvo
floretear	sobredourar
arremenicar	retorquir
abrasear	enrubescer
cinéreo	cinzado
tentador	tentante
lentescer	regar
impuro	incontaminado
apreciar	examinar
empachar	fechar
afalcoar	estimular
diferente	variegado
machucho	velhaco
arder	piançar
enfestar	estopar
fel	travo
bandurrear	bestar
esbracejar	espernear
arregaço	esfrega
digno	direito
íntimo	pessoal
excessividade	superfluidade
anipnia	insonolência
precipitar-se	projetar-se
enxameação	enxameamento
contorção	torço
pélago	precipício
frígido	glacial
primordial	substancial
longo	prolixo
lenificar	lenir
metamorfosear-se	mudar-se
debochador	zombador
rejeitar	revessar
amolado	saturado
amelindrar	mazelar
deslizar	rabear
arruinar	avariar
decorar	honestar
deslumbrante	fastuoso
marcha	processo
engastar	interserir
pimpolhar	proliferar
agigantar	ampliar
corredio	macio
efusão	emborque
adulterino	contrafeito
aliviar-se	mitigar-se
coarcto	coarto
incensador	louvaminho
formidando	horrípilo
criterioso	ponderado
atroçoar	migalhar
caramboleiro	cuvilheiro
ardil	traça
latejo	pulo
sinistramente	tragicamente
crespo	encapelado
trapalhada	trapalhão
acudir	afluir
engelhado	rugoso
aformosentamento	ataviamento
sobrepor	superpor
responder	revidar
goguento	gosmoso
abajoujado	hebetizado
amotinar	atumultar
indeciso	indeliberado
previsão	prognóstico
intermediário	terceiro
demente	louco
biliar	bilioso
passar	romper
afastado	retirado
acoimar	encoimar
emaciado	emagrecido
lameirão	lodaçal
desenferrujado	desentorpecido
confutar	impugnar
azedume	pesadume
empurpurecer	vermelhar
afroixar	bambar
metonímia	transnominação
pompear	pracear
acinte	injúria
austeridade	rudeza
acapachado	humilhado
fortalecer	oxigenar
bochincheiro	rusguento
teada	textura
desafiar	peguinhar
transiente	transitivo
cabana	tijupar
angustiar	mortificar
abater	desapear
denudado	desnu
arfar	jogar
emergir	mostrar-se
haver	ter
esfalecer	esmorecer
tempestear	toar
espedaçado	estroçado
caridoso	caritativo
cineral	cinzeiro
confutação	objeção
aclarecer	escurentar
atrancamento	atravancamento
aborrecido	maçador
atrevimento	protérvia
circunstanciar	pormenorizar
lúcido	nítido
adereço	requifife
contrapontear	repostar
coadunar-se	congregar-se
incivilidade	rusticidade
preferir	prepor
sofreado	sufocado
franquear	palrar
ajoeirar	sengar
lascívia	luxúria
checar	reverificar
aninar	ninar
curto	rápido
desempenhar	praticar
acostumar	traquejar
absconso	esconso
esfarelamento	esmigalhadura
amargurado	mortificado
gambérria	sancadilha
confiar	encargar
cognado	cognato
coação	pressão
dobrar	pressionar
récipe	ripada
bazofiar	galrar
retorqüir	volver
indicar	ter
carismático	epiléptico
