a-bê-cê	abecedário
agremiar-se	juntar-se
agressividade	combatividade
agressão	ripada
agrestia	rudeza
agrestice	incivilidade
agricultor	arvicultor
agricultura	lavragem
agrilhoar	engranzar
agrimônia	agrura
agrinaldar	festonar
agro	decepção
agror	amargura
agrumelar	encaramelar
agrumelar-se	coalhar-se
agrupado	associado
agrupar	integralizar
agrícola	arvicultor
aguaceiro	cordoada
aguar	lentar
aguardar	atender
aguaritar	albergar
aguaçal	paul
agudar	desembotar
agudez	subtilidade
agudeza	fineza
aguerrido	varonil
aguilhar	concitar
aguilhoar	inflamar
aguilhão	atiçamento
agulha	picada
agulhar	ferir
aguçado	apuado
aguçar	influir
agência	diligência
agüentar	segurar
aiaia	brinquedo
aiar	ulular
ainda	demais
airado	resfriado
airosidade	donaire
airoso	digno
ajaezado	esquipado
ajaezar	vestir
ajarretar	truncar
ajaular	aprear
ajavardar	descivilizar
ajeitado	ordenado
ajeitamento	conchavo
ajeitar	congraçar
ajoeirar	sengar
ajoelhado	genuflexo
ajoelhar-se	avassalar-se
ajorca	axorca
ajoujar	sobrecarregar
ajuda	aviamento
ajudante	auxiliar
ajudar	servir
ajudar-se	aproveitar-se
ajuizado	circunspecto
ajuizar	reputar
ajuntado	aposto
ajuntar	conchegar
ajuntar-se	grupar-se
ajustado	pactuado
ajustagem	amoldamento
ajustamento	enquadramento
ajustar	conluiar
ajustar-se	combinar-se
ajutório	putirão
alabarar	foguear
aladeirado	enladeirado
alagado	arrasado
alagamar	pego
alambazado	lambaz
alambicado	enfatuado
alambicar	madurar
alambrado	aramado
alanceado	amargado
alanhar	ansiar
alanzoar	parlar
alapardado	recôndito
alar	guindar
alardar	galhardear
alardar-se	campar
alardeador	gabador
alardear	pracear
alardear-se	gargantear
alargar	alongar
alargar-se	amplificar-se
alarido	tumulto
alarmado	intranqüilo
alarmar	ariscar
alarmar-se	espaventar-se
alarvado	grosseiro
alarvajado	tosco
alarvaria	chamboíce
alarve	grosseiro
alastrar	inçar
alba	albor
alberca	aquário
albergado	instalado
albergamento	albergaria
albergar	asilar
albergaria	poisada
albicante	branquicento
albinia	albinismo
albor	arraiada
alborcar	cambar
alborotar	desassossegar
alcachinar	tornejar
alcagüetar	dedo-durar
alcance	conseguimento
alcantilado	alcantiloso
alcançado	atingido
alcançamento	obtenção
alcançar	depreender
alcançável	conseguível
alcatroar	empezar
alcatruz	caçamba
alcatruzado	combo
alcofar	intrigar
alcoice	prostíbulo
alcoolizado	embriagado
alcoolizar-se	melar-se
alcoranista	muçulmano
alcouceiro	prostibulário
alcovitar	mexericar
alcoviteiro	intrigante
alcoólatra	bebum
alcunha	antonomásia
alcunhar	sobrenomear
aldeia	póvoa
aldeola	casalejo
aldrava	argola
aldravice	trapaça
aleatório	inopinado
alegado	referido
alegar	reportar
alegação	argüição
alegrar	animar
alegrar-se	congratular-se
alegre	travesso
alegria	júbilo
aleijado	mutilado
aleijar	jarretar
aleiloar	leiloar
aleitamento	amamentação
aleive	refalsamento
alentado	encorajado
alentar	ansiar
alentoso	alto
alerta	atentamente
aleta	narina
alevantado	apanhado
alevantar	erguer
alevantar-se	pronunciar-se
alevante	levante
alfageme	espadeiro
alfaiado	engalanado
alfaiar	arrear
alfandegar	alfandegueiro
alfeire	chiqueiro
alfeninado	dengoso
alfinetada	sainete
alfobre	alfofre
alfombrar	entapetar
alforriar	forrar
algaraviada	celeuma
algazarra	babel
algemar	obrigar
algemar-se	atar-se
algibe	cacimba
algodoaria	cotonifício
algozaria	selvageria
alhanado	igualado
alhanar	alivelar
alhanar-se	aplanar-se
alheado	desassisado
alhear	traspassar
alhear-se	perturbar-se
alheio	inatento
aliado	associado
aliar	conjungir
alicantinador	alicantineiro
alicaído	desacorçoado
alicerçador	fundamentador
aliciador	aliciante
aliciante	aliciatório
aliciar	mordicar
alienado	endoidecido
alienar	desvariar
alienar-se	enlouquecer-se
alienista	mentecapto
alienígena	estrangeiro
aligeirado	dulcificado
aligeirar	amenizar
alijar	cuspir
alimental	nutriente
alimentar	conservar
alimentar-se	comer
alimentação	estimulação
alimentício	substancial
alimpar	depurar
alimpar-se	depurar-se
alindado	esquipado
alinhado	nivelado
alinhavar	coser
alinho	esmero
alisar	aplainar
alisar-se	aplainar-se
alistar	relacionar
aliviado	leve
aliviar	moderar
aliviar-se	mitigar-se
aljofarar	esborrifar
aljofrar	arrociar
alma	vivacidade
almargeal	pasto
almejar	piançar
almiscarado	cheiroso
almofadado	estofado
alogia	disparate
aloirar	enloirecer
alojamento	instalação
alojar	condessar
alombado	curvo
alongar	distanciar
alongar-se	prorrogar-se
alonginquar	desunir
aloucado	amalucado
aloucar	variar
alourar	enlourar
alparcata	alpercata
alquebrado	debilitado
alquebramento	debilitação
alquebrar	sangrar
alquebrar-se	exaustar-se
altanado	alterado
altanaria	sobranceria
altaneiro	cachaceiro
altaragem	voto
altareiro	beato
alteado	encimado
altear	arribar
altear-se	subir
alterado	desinquieto
alterar	danar
alterar-se	transmudar-se
alteração	indignação
altercador	altercante
altercar	testilhar
alternar	rajar
alternação	diversificação
alteroso	assoberbado
altiloqüência	sublimidade
altiplano	platô
altissonante	estriduloso
altitúdico	altitudinário
altivamente	arrogantemente
altivez	potra
altivo	campanudo
alto	exímio
altíssono	estridoroso
aluado	destrambelhado
aluamento	doudaria
aluar-se	alucinar-se
aluarado	enluarado
alucinar	desatinar
alucinar-se	endoidecer-se
alucinógeno	tóxico
alugar	estipendiar
aluir	dirruir
aluição	desabe
alumbrado	deslumbrado
alumbrar	clarear
alumbrar-se	iluminar-se
alumiado	esclarecido
alumiamento	luzimento
alumiar	clarear
alumiação	iluminação
aluminífero	alúnico
alusivo	concernente
alusão	referência
aluvião	enchente
aluído	desabado
alvanéu	alvenel
alvar	tolo
alvarento	entrebranco
alvear	dealvar
alveiro	entrebranco
alvejar	alvorejar
alvescer	calear
alvidramento	arbítrio
alvinitente	flamíneo
alvissarar	dar
alvo	objetivo
alvor	resplandecência
alvorejar	curar
alvorescer	raiar
alvorotamento	excitação
alvorotar	regozijar
alvorotar-se	virar
alvoroto	estrondo
alvoroçado	alvorotado
alvoroçar	facionar
alvoroçar-se	pronunciar-se
alçada	competência
alçado	levantado
alçar	exaltar
alçar-se	alevantar-se
alíquota	percentualidade
alívio	minoração
alúvio	inundação
amabilidade	meiguice
amachonar	amachorrar
amachucado	depauperado
amachucar	golpear
amaciamento	amolecimento
amaciar	quebrar
amado	querido
amador	amante
amadurado	assazonado
amadurar-se	amadurecer-se
amadurecer	sutilizar
amadurecer-se	assazonar-se
amagrado	amumiado
amainar-se	refecer-se
amaldiçoar	anatematizar
amalgamar	fundir
amalucar-se	endoidecer-se
amamentação	lactação
amancebado	cambondo
amaneirado	apavonado
amanhado	esquipado
amanhar	lavrar
amansado	domado
amansar	repousar
amansar-se	controlar-se
amante	mulher
amanuense	escriturário
amar	copular
amarar	angustiar
amarasmado	mazorro
amarasmeado	letárgico
amarelado	descorado
amarfanhado	amolaxado
amarfanhar	torturar
amargar	provar
amargor	amargura
amargurado	mortificado
amaricado	aqualirado
amarrado	carifranzido
amarrar-se	emperrar
amarração	imobilização
amarroado	pensativo
amarrotado	enrugado
amasio	mancebia
amassado	espandongado
amassar	marlotar
amasso	esfregamento
amazelado	deselegante
ambicionar	ansiar
ambicioso	cúpido
ambigüidade	equivocidade
ambilateral	bilateral
ambrosiado	delicioso
ambrosíaco	sápido
ambulante	erradio
ambulativo	errático
ambágio	duvidoso
amealhar	economizar
amedrontador	arrepiante
amedrontante	fero
amedrontar	intimidar
amedrontar-se	estremecer-se
ameigado	apaparicado
ameigar	ceder
ameigar-se	diminuir-se
amelindrado	ressentido
amelindrar	mazelar
amelindrar-se	irritar-se
ameninado	menineiro
ameninar	renascer
ameninar-se	rejuvenescer-se
amenizar	remitir
amenizar-se	aplacar-se
ameno	moderado
amenoso	suave
amenta	voz
amente	delirante
amergulhar-se	amodornar-se
americano	norte-americano
amesquinhador	apoucador
amesquinhar	desatender
amestrado	ensinado
amesurar	mesurar
amical	amistoso
amicíssimo	amiguíssimo
amigado	cambondo
amigo	unido
amimar	berçar
amiserar-se	mazelar-se
amiseração	autocomiseração
amochado	retraído
amochar-se	enclausurar-se
amodelar	contornar
amodorrar-se	imergir-se
amoedado	opulento
amoestar	censurar
amofinado	apoquentado
amofinar	golpear
amofumbar	colorar
amoitar	ocultar
amoitar-se	entrouxar-se
amolado	saturado
amolador	maldito
amolante	paulificante
amolar	massacrar
amolar-se	entediar-se
amolação	zanga
amoldado	moldado
amoldar-se	formar-se
amoldurado	emoldurado
amoldurar	sazonar
amoldurar-se	espenicar-se
amolecer-se	embrandecer-se
amolegar	amolgar
amolestar	vulnerar
