acorrentar	agrilhoar
acorrentar-se	submeter-se
acorrer	lembrar
acorçoado	encorajado
acorçoamento	encorajamento
acorçoar	aquecer
acossa	encalço
acossado	traquejado
acossador	seguidor
acossamento	encalço
acossar	confranger
acosso	perseguição
acostado	parasita
acostar	coser
acostar-se	espichar-se
acostumado	aquilotado
acostumamento	familiarização
acostumar	traquejar
acostumar-se	costumar-se
acotar	calcular
acotoveladura	acotovelamento
acotovelamento	cotovelão
acotovelar	esporar
acoturnado	coturnado
acoucear	agredir
acoutado	escondido
acoutar	gasalhar
acoutar-se	aninhar-se
acouçar	destratar
acovar	cravar
acovar-se	amoutar-se
acovardado	atemorado
acovardamento	desvalor
acovardar	atemorizar
acovardar-se	estremecer-se
acracia	anarquia
acrasia	imoderação
acravar	meter
acravar-se	espetar-se
acre	agro
acre-doce	agridoce
acreditado	afiançado
acreditar	crer
acreditável	crível
acrescentado	anexado
acrescentamento	adicionamento
acrescentar	temperar
acrescentar-se	adicionar-se
acrescente	adicionação
acrescer	somar
acrescer-se	adicionar-se
acrescido	aumentado
acrescimento	adicionação
acrescência	adição
acriançado	menineiro
acriançar-se	ameninar-se
acridez	requeime
acridão	agrimônia
acriminar	criminar
acrimoniar	azedar
acrimônia	agro
acrisolado	cendrado
acrisolamento	depuração
acrisolar	madurar
acrisolar-se	perfeiçoar-se
acritude	agrimônia
acroase	dissertação
acrobacia	funambulismo
acrobata	equilibrista
acrobatismo	equilibrismo
acrofonia	fonetismo
acrografia	acrograma
acrograma	monograma
acromaticidade	acromatismo
acromatismo	incoloração
acromo	incolor
acromático	incolor
acréscimo	adicionamento
acróbata	volatim
acrômico	incolor
acu	quentura
acuamento	acuo
acuar	arrincoar
acuação	acuamento
acudir	afluir
acuidade	fineza
acume	máximo
acumeado	apicado
acumetria	acuometria
acuminado	bicudo
acuminar	amolar
acumpliciar	cumpliciar
acumulado	armazenado
acumulador	ajuntador
acumular	coacervar
acumular-se	cerrar
acumulação	aglomeração
acumétrico	audiométrico
acuometria	audiometria
acuométrico	audiométrico
acupunctura	acupuntura
acurado	aprimorado
acurar	facetear
acurar-se	refinar-se
acurralar	encantoar
acurrar	enrinconar
acurtar	compactar
acurvado	alombado
acurvamento	derreamento
acurvar	dobrar
